undervaluedProducts,warehouseCode
S10_1678,a
S10_2016,a
S10_4698,a
S12_2823,a
S18_1662,a
S18_2581,a
S18_2625,a
S18_3782,a
S24_1578,a
S24_1785,a
S24_2000,a
S24_2360,a
S24_2841,a
S24_3949,a
S24_4278,a
S32_1374,a
S32_2206,a
S32_4485,a
S50_4713,a
S700_1691,a
S700_2466,a
S700_2834,a
S700_3167,a
S700_4002,a
S72_1253,a
S10_1949,b
S10_4757,b
S10_4962,b
S12_1099,b
S12_1108,b
S12_3148,b
S12_3380,b
S12_3891,b
S12_3990,b
S12_4675,b
S18_1129,b
S18_1589,b
S18_1889,b
S18_1984,b
S18_2238,b
S18_2870,b
S18_3232,b
S18_3278,b
S18_3482,b
S18_3685,b
S18_4027,b
S18_4721,b
S18_4933,b
S24_1046,b
S24_1444,b
S24_1628,b
S24_2766,b
S24_2840,b
S24_2887,b
S24_2972,b
S24_3191,b
S24_3371,b
S24_3432,b
S24_3856,b
S24_4048,b
S24_4620,b
S700_2824,b
S18_1342,c
S18_1367,c
S18_1749,c
S18_2248,c
S18_2325,c
S18_2795,c
S18_2949,c
S18_2957,c
S18_3136,c
S18_3140,c
S18_3320,c
S18_3856,c
S18_4409,c
S18_4522,c
S18_4668,c
S24_1937,c
S24_2022,c
S24_3151,c
S24_3420,c
S24_3816,c
S24_3969,c
S24_4258,c
S32_4289,c
S50_1341,c
S12_1666,d
S12_4473,d
S18_1097,d
S18_2319,d
S18_2432,d
S18_3029,d
S18_3259,d
S18_4600,d
S24_2011,d
S24_2300,d
S32_1268,d
S32_2509,d
S32_3207,d
S32_3522,d
S50_1392,d
S50_1514,d
S700_1138,d
S700_1938,d
S700_2047,d
S700_2610,d
S700_3505,d
S700_3962,d
S72_3212,d
